 Wendy Schaal,4424,0.074
 Yasmine Bleeth,1818,0.234
 Paris Berelc,7562,0.24
 Ray Romano,3930,1.46
 Dwight Schultz,4486,0.131
 Lynda Day George,7760,0.0464
 Jessica Carlson,20336,0.0376
 Oona Laurence,3850,0.084
 Luke Kirby,3514,0.0978
 Jack Whitehall,5306,0.821
 Louis Greatorex,50042,0.0526
 Stephen Collins,6152,0.493
 Tom Guiry,2402,0.116
 Tom Lipinski,9325,0.0309
 Hayley Law,5129,0.0536
 Izabella Scorupco,2154,0.17
 Shree Crooks,6088,0.0307
 Dan Hedaya,5261,0.142
 Emerald Fennell,4066,0.0287
 Anna Akana,5577,0.323
 Diana Hopper,9681,0.0324
 Siobhan Fallon Hogan,2682,0.0496
 Stassi Schroeder,8118,0.409
 Ji-won Ha,15480,0.0819
 Thomas Barbusca,3404,0.0586
 Marc Evan Jackson,10978,0.0411
 Sara Malakul Lane,2251,0.375
 Sarayu Blue,12955,0.0298
 Silas Weir Mitchell,3055,0.167
 Danny John-Jules,6938,0.072
 Andrea Bowen,7477,0.139
 Pete Davidson,13212,16.5
 Jason Earles,6669,0.154
 Austin P McKenzie,12861,0.00948
 Michael Malarkey,3743,0.247
 Dascha Polanco,2152,0.432
 Max Gail,8238,0.0772
 Michael Cerveris,12504,0.129
 Mackenzie Astin,2897,0.0803
 Christina Milian,4812,6.94
 Rebecca Liddiard,14363,0.0222
 Reiko Aylesworth,3988,0.094
 Laura Allen,6747,0.213
 Amanda Wyss,3417,0.0624
 Ryan Lee,5259,1.1
 Tovah Feldshuh,6302,0.132
 Kevin Heffernan,8123,0.0896
 Maud Adams,8312,0.185
 Vanessa Ross,6243,0.027
 Fred Dekker,17743,0.0714
 Kerri Doherty,68557,0.0118
 Amy Spanger,14026,0.0231
 Diana Muldaur,4843,0.0572
 Kulap Vilaysack,6736,0.0246
 Kevin Michael Richardson,4785,0.253
 Hal Ozsan,9047,0.0224
 Elizabeth Bourgine,9740,0.0128
 LQ Jones,5522,0.0965
 Ardal OHanlon,6505,0.0181
 Matt Lauria,4136,0.0851
 Utkarsh Ambudkar,7014,0.0657
 Aidy Bryant,10347,0.23
 Adil El Arbi,35956,0.0322
 Elpidia Carrillo,8263,0.0752
 David Zayas,5684,0.191
 W Earl Brown,4884,0.0799
 Jennifer Schwalbach Smith,2893,0.0554
 Lisa Brenner,10069,0.0521
 Tracy Ann Oberman,12100,0.0431
 Nicholas Brendon,4135,0.185
 Stephen Tobolowsky,4569,0.224
 Lyne Renee,9528,0.0686
 Eva Marie Saint,5908,0.437
 Fiona Button,37441,0.261
 Ethan Phillips,4213,0.127
 Elise Gatien,7393,0.0343
 Jeffrey DeMunn,3752,0.204
 David Ayer,3758,0.862
 Eriq La Salle,4011,0.121
 Trish Van Devere,14489,0.0441
 Eamonn Walker,6080,0.153
 Machine Gun Kelly,3094,4.59
 Beau Knapp,4217,0.103
 Ian Ziering,5717,0.854
 Griffin Gluck,2780,0.0734
 Isaach De Bankol,15945,0.0147
 Robert Pine,2442,0.0907
 Salome Jens,5271,0.037
 Paris Jackson,1575,7.55
 Tom Riley,4706,0.203
 Jon Gries,5034,0.27
 Jacqueline Robbins,18994,0.0452
 Lulu Wilson,11118,0.0885
 Rachael MacFarlane,6687,0.0615
 Max Casella,4670,0.0961
 Gethin Anthony,4715,0.0812
 Bill Burr,4629,1.81
 Olivier Martinez,5179,0.348
 Ariela Barer,14890,0.0545
 Rachel Melvin,5254,0.0688
 Matt Lucas,3263,0.323
 Bitty Schram,5650,0.0902
 Dave Foley,4901,0.192
 Robert Smigel,11277,0.0931
 AJ Langer,5283,0.0416
 Jon Bass,3059,1.85
 James Callis,5054,0.0942
 Jon Watts,5854,0.217
 Hartley Sawyer,19734,0.0832
 Erin Cahill,5515,0.103
 Ryan Newman,3032,2.47
 Rupert Evans,3836,0.398
 William Smith,5527,4.24
 David Ramsey,3071,0.93
 Celina Jade,6361,0.165
 Richard Harrington,4932,0.161
 Thure Lindhardt,2923,0.308
 Paige OHara,1956,0.0113
 Cassi Thomson,7650,0.181
 Yeardley Smith,4171,0.233
 Chord Overstreet,4643,1.68
 Andy Favreau,11847,0.029
 Lisa Whelchel,5162,0.473
 James L Brooks,4605,0.294
 Brian Doyle-Murray,4641,0.11
 Yuji Okumoto,12636,0.0346
 Bruce Davison,5342,0.289
 Ian Bohen,7069,0.629
 Richard Riehle,5423,0.14
 Dan Soder,7516,0.0644
 Ryan Merriman,4684,0.142
 Kelli Barrett,7907,0.0327
 Robert Wisdom,7738,0.126
 Corinne Bohrer,4200,0.225
 Alison Eastwood,4241,0.115
 Drew Carey,7947,1.32
 Andy Buckley,6742,0.0639
 Natalie West,16118,0.0325
 Justin Kirk,4614,0.519
 Laurel Coppock,3008,0.0177
 Josh Trank,8218,0.154
 Linnea Quigley,6455,0.452
 Jasper Pkknen,5662,0.0116
 Jacqueline MacInnes Wood,5074,0.531
 Jennifer Grant,5022,0.132
 Ron Jeremy,4912,7.52
 Marc Alaimo,7896,0.0363
 Arthur Darvill,3388,0.317
 Sandahl Bergman,5780,0.133
 Christopher Masterson,3454,0.359
 Karyn Parsons,3825,0.199
 Michael Raymond-James,3703,0.424
 JoBeth Williams,4996,0.266
 Fred Durst,13213,0.416
 Eddie Kaye Thomas,3716,0.147
 Mike Henry,5322,0.34
 Reign Edwards,17695,0.769
 Tracy Scoggins,5127,0.0858
 Caterina Murino,2951,0.211
 Dan Castellaneta,4858,1.03
 Lorraine Gary,11360,0.07
 David Henrie,4887,0.72
 Antony Starr,4219,0.0891
 Leah Gibson,11096,0.0835
 Tony Sirico,6016,0.115
 Tommy Martinez,25265,0.0397
 Sprague Grayden,4611,0.054
 Mili Avital,5884,0.0458
 Heida Reed,9206,0.101
 Bill Goldberg,6055,0.422
 Chris Hardwick,5039,3.44
 William Devane,5631,0.163
 Leah Pipes,4990,0.183
 Ian Harding,2533,0.76
 Bernard Cribbins,9403,0.149
 Gus Van Sant,5444,0.933
 Evan Williams,3653,0.77
 Oprah Winfrey,3649,24.2
 Rene Willett,34124,0.000449
 Gabrielle Walsh,15826,0.0418
 Yunjin Kim,3165,0.193
 Suzanne Snyder,6615,0.0516
 Joe Piscopo,13136,0.196
 Maurice Compte,6179,0.0564
 Russ Tamblyn,3324,0.17
 Carly Schroeder,4867,0.303
 Robert Duncan McNeill,2978,0.0788
 Alfonso Ribeiro,6098,0.438
 Ricardo Darn,8597,0.115
 Scott Wilson,3090,1.42
 Inga Swenson,18535,0.0243
 Rebecca Breeds,4345,0.0707
 Penelope Wilton,5517,0.177
 Meaghan Martin,5962,0.122
 Sarah Ramos,4748,0.0901
 Doug Liman,1267,0.363
 Mercedes Ruehl,3929,0.112
 Scott Baio,5131,0.647
 Robert Picardo,4205,0.218
 Lisa Ryder,11005,0.0652
 Brigid Brannagh,3602,0.0602
 Jacqueline Obradors,6120,0.115
 John Jarratt,10022,0.0799
 David Herman,5073,0.204
 Gabrielle Dennis,6214,0.139
 Sarah Butler,4440,0.338
 Jayson Blair,10151,0.227
 Scott Cohen,5952,0.252
 Charles Shaughnessy,6221,0.124
 Chauncey Leopardi,4278,0.031
 Lisa Jakub,3224,0.0366
 Caitlyn Jenner,3322,5.59
 Pascale Hutton,5712,0.0705
 Jason Behr,5959,0.145
 Wyatt Oleff,2564,0.231
 Jemar Michael,2870,0.00646
 Stephanie Katherine Grant,8831,0.0151
 David Faustino,4894,0.143
 Kyle Bornheimer,7893,0.0735
 Mary Wiseman,14097,0.061
 Aaron Staton,6150,0.0671
 Laura Main,5315,0.0503
 Christine Lahti,2917,0.165
 Gavin MacLeod,7678,0.434
 Eve Plumb,6900,0.147
 Michael Nouri,8134,0.108
 Yvette Mimieux,6385,0.174
 Dominic Scott Kay,3616,0.0204
 Gabrielle Miller,6384,0.112
 Michael Murphy,11647,1.76
 Brooke Williams,7601,0.288
 Bryan Greenberg,3280,0.207
 Heidi Klum,6051,24.1
 Sarah Lind,9552,0.31
 Annie ODonnell,38328,0.00436
 David O Russell,4669,0.596
 Brian Krause,5210,0.265
 Gates McFadden,4554,0.143
 Emmy Clarke,10142,0.0167
 Nick Gehlfuss,3891,0.0775
 Sam Mendes,4445,1.14
 Irrfan Khan,3822,4.13
 Greg Vaughan,4889,1.18
 Isaac Hempstead Wright,2887,0.229
 Greg Grunberg,4644,0.199
 Johnny Pemberton,7798,0.0546
 Cas Anvar,7360,0.0999
 Peter Weir,6674,0.482
 Rarmian Newton,30791,0.0146
 Alexandra Paul,1878,0.287
 Ava DuVernay,9095,2.32
 Yasmine Al Massri,3423,0.0472
 Ron Cephas Jones,4472,0.0533
 Zuleikha Robinson,4558,0.14
 Peter Jacobson,8369,0.19
 Alia Bhatt,4685,24.5
 Donna Wilkes,13751,0.0471
 Courtney B Vance,4293,0.306
 Alexis Georgoulis,12209,0.0448
 TJ Thyne,4928,2.17
 Amy Stoch,14807,0.0415
 Henry Simmons,5551,0.216
 Miriam Margolyes,5887,0.169
 Richard Tyson,5630,0.0975
 Pamela Reed,7059,0.127
 Ral Esparza,5052,0.0056
 Perrey Reeves,3220,0.187
 Ferdia Walsh-Peelo,6059,0.0378
 Nicole Polizzi,9604,0.246
 Victoria Yeates,5640,0.032
 Lauren Tom,3001,0.162
