 Keesha Sharp,4254,0.125,,,
 David Leitch,4615,0.431,,,
 Aidan Turner,837,3.63,,,
 Matt LeBlanc,1108,0.652,,,
 Madeline Carroll,2958,0.162,,,
 Mel Brooks,2160,2.71,,,
 Sasha Pieterse,404,1.01,,,
 Danneel Ackles,2277,0.167,,,
 Bridget Moynahan,788,0.494,,,
 Billy Zane,1016,0.491,,,
 Gaby Hoffmann,569,0.244,,,
 Elijah Wood,1229,1.73,,,
 Aimee Garcia,1863,0.272,,,
 Debi Mazar,2768,0.373,,,
 Cory Michael Smith,2686,0.196,,,
 Kathleen Turner,880,0.56,,,
 Kristin Kreuk,1468,0.965,,,
 Jamie Chung,738,1.13,,,
 Kim Cattrall,1437,2.01,,,
 Steve Buscemi,1283,1.25,,,
 Nichole Bloom,1251,0.165,,,
 Josphine Jobert,1749,0.000773,,,
 Rachael Leigh Cook,1025,0.406,,,
 Christopher Russell,11958,0.187,,,
 William Moseley,1996,0.375,,,
 Christopher Lloyd,1355,1.82,,,
 AnnaLynne McCord,1243,3.28,,,
 David Harbour,328,0.837,,,
 Pierce Brosnan,716,6.46,,,
 Marc Warren,4855,0.149,,,
 Katrina Bowden,1703,0.519,,,
 Peter Stormare,168,0.398,,,
 Christian Slater,1041,0.739,,,
 Sean Bean,1007,1.21,,,
 Richard Gere,766,2.15,,,
 Patrick Warburton,1363,0.377,,,
 Toni Collette,883,1.21,,,
 Tatiana Maslany,846,0.531,,,
 Randee Heller,12159,0.126,,,
 Jason Isaacs,1341,0.503,,,
 Angela Lansbury,1325,0.742,,,
 Woody Allen,1003,6.35,,,
 Willa Holland,844,0.593,,,
 Billy Bob Thornton,914,1.06,,,
 Christina Applegate,1093,0.663,,,
 Kim Dickens,2022,0.39,,,
 Kelly Preston,1286,0.652,,,
 Giovanni Ribisi,1445,0.412,,,
 Mandy Patinkin,1564,0.425,,,
 Eleanor Tomlinson,1290,0.422,,,
 Jonny Lee Miller,1159,0.431,,,
 Steven Ogg,3049,0.156,,,
 Peter Jackson,1862,4.29,,,
 Alexandra Shipp,3585,0.946,,,
 Jim Parsons,1097,1.62,,,
 Marcella Bragio,14470,0.0156,,,
 Dakota Blue Richards,1539,0.232,,,
 Hannah Jeter,10914,0.184,,,
 Aisha Tyler,957,0.508,,,
 Joseph Mazzello,1432,0.182,,,
 Warwick Davis,2322,0.405,,,
 Tania Raymonde,1010,0.188,,,
 Florence Pugh,2725,0.124,,,
 Maggie Smith,879,1.72,,,
 China Anne McClain,2779,0.565,,,
 Nikolaj Coster-Waldau,489,0.549,,,
 Natalia Dyer,730,0.749,,,
 Austin Butler,2134,1.88,,,
 Owen Wilson,1062,6.87,,,
 Timothy Bottoms,7429,0.432,,,
 Isabel Lucas,1287,0.927,,,
 Patrick Dempsey,911,9.32,,,
 Peter Sarsgaard,1298,0.654,,,
 Meaghan Rath,3216,0.116,,,
 M Night Shyamalan,277,1.84,,,
 Camilla Luddington,1582,0.42,,,
 Ray Stevenson,1701,0.502,,,
 Charlie Plummer,6901,0.115,,,
 Tanya van Graan,16565,0.315,,,
 Olivia Vinall,35139,0.0373,,,
