 Dan Butler,9726,0.117
 Kevin Chamberlin,11304,0.0867
 Jon Stewart,4452,3.79
 Andy On,8586,0.503
 Alexa Havins,11746,0.0404
 Asim Chaudhry,16998,0.156
 Jaimee Foxworth,11948,0.399
 Scott Michael Campbell,12529,0.294
 Audrey Landers,8701,0.0768
 Nikki Benz,9669,3.18
 John Schuck,10860,0.0603
 Martin Klebba,6664,0.0824
 Alex Saxon,9193,0.0443
 Scott Adsit,8168,0.136
 Jack Kilmer,4231,0.0759
 Demetrius Shipp Jr,1814,0.0825
 Chelah Horsdal,6378,0.0631
 K Todd Freeman,14143,0.131
 Devon Murray,14151,0.0568
 Lisa Henni,22953,0.125
 Lee Purcell,10530,0.0601
 Pisay Pao,7053,0.295
 David Mitchell,9772,1.26
 Okieriete Onaodowan,31375,0.0764
 Weston Cage,14550,0.161
 Jenna Kanell,6253,0.192
 Saundra Santiago,7954,0.184
 Sharon Small,6977,0.122
 Anne Ramsay,7201,0.281
 Jarod Joseph,7274,0.0502
 Matt Cohen,5427,0.257
 Justin Cooper,8038,0.18
 Liliana Mumy,8514,0.0731
 Tyler Johnston,7122,0.0788
 Paul McGillion,11243,0.0756
 Tmas Lemarquis,9465,0.0348
 Bas Rutten,11650,0.357
 William Miller,34424,1.22
 Jacke Harry,9031,0.066
 Kelly Connaire,296812,0.0211
 Jonathan Pointing,44669,0.0125
 Susan Lucci,1691,0.42
 Michael Aronov,12404,0.0306
 Josh Randall,11822,0.123
 Tom Maden,3393,0.0378
 Darren Le Gallo,7048,0.0746
 Katherine Kelly Lang,9172,0.323
 Terry Moore,4446,0.622
 Eli Marienthal,7061,0.0369
 Tom Baker,6468,1.36
 Maria Shriver,11059,1.55
 Jason Watkins,10203,0.0891
 Charlene Tilton,7315,0.14
 Eric Bogosian,5416,0.124
 Hiam Abbass,3473,0.0978
 Linda Evangelista,2081,4.91
 Freddie Fox,3100,0.106
 Torri Higginson,9644,0.126
 Delphine Chanac,7579,0.031
 Darius McCrary,8501,0.105
 J Michael Finley,43407,0.0851
 Judie Aronson,10578,0.0675
 Bryan Dechart,37140,0.0828
 Kelly Kruger,10425,0.159
 Sheryl Lee Ralph,11644,0.154
 Artemis Pebdani,8593,0.0372
 Keith Urban,9163,14.3
 Erin Murphy,7097,0.29
 Elizabeth Sellars,34287,0.0247
 Michael Des Barres,9737,0.0661
 Will Swenson,24552,0.0769
 Sarah Utterback,35632,0.0119
 Aaron Jakubenko,8039,0.0295
 Gabriel Basso,8143,0.0708
 Traci Dinwiddie,8650,0.0618
 Sarah Miles,9358,0.241
 Chad Rook,19027,0.0329
 Zane Huett,9409,0.0313
 Mitzi Kapture,9004,0.0227
 Charles Frank,22176,0.31
 Janeshia Adams-Ginyard,74798,0.022
 Anamaria Marinca,5266,0.0742
 Gus Birney,15642,0.0272
 Lisa McGrillis,9752,0.0809
 Gregory Sierra,7365,0.0383
 Jenn McAllister,22562,0.155
 Tony Gilroy,9282,0.183
